日期,点击次数,展示,点击率,排名
2026-02-15,2,271,0.0074,15.3
2026-02-16,6,220,0.0273,18.2
2026-02-17,2,304,0.0066,16.5
2026-02-18,4,278,0.0144,12.8
2026-02-19,3,718,0.0042,10.1
2026-02-20,1,253,0.004,13.4
2026-02-21,3,261,0.0115,17
2026-02-22,3,319,0.009399999999999999,15.1
2026-02-23,3,383,0.0078000000000000005,17.2
2026-02-24,2,380,0.0053,14.7
2026-02-25,0,409,0,16.4
2026-02-26,3,383,0.0078000000000000005,11.7
2026-02-27,1,550,0.0018,15.9
2026-02-28,0,371,0,13.2
2026-03-01,2,485,0.0040999999999999995,13.1
2026-03-02,8,751,0.010700000000000001,11.5
2026-03-03,1,498,0.002,14.6
2026-03-04,3,757,0.004,13.1
2026-03-05,4,808,0.005,12.9
2026-03-06,1,479,0.0021,13.6
2026-03-07,6,425,0.0141,14.1
2026-03-08,3,584,0.0051,12.6
2026-03-09,5,543,0.0092,12.9
2026-03-10,3,490,0.0060999999999999995,14.7
2026-03-11,2,571,0.0034999999999999996,14.1
2026-03-12,1,396,0.0025,18.4
2026-03-13,3,509,0.0059,17
2026-03-14,1,320,0.0031,15.5
2026-03-15,1,416,0.0024,13.5
2026-03-16,0,478,0,13.8
2026-03-17,3,680,0.0044,12.9
2026-03-18,5,449,0.0111,15.3
2026-03-19,3,486,0.0062,14.3
2026-03-20,3,445,0.0067,16.7
2026-03-21,4,488,0.008199999999999999,19.6
2026-03-22,2,415,0.0048,17.4
2026-03-23,5,474,0.0105,14.6
2026-03-24,2,429,0.004699999999999999,14.1
2026-03-25,1,652,0.0015,22.5
2026-03-26,0,475,0,17.4
2026-03-27,1,661,0.0015,14.3
2026-03-28,2,644,0.0031,12.1
2026-03-29,3,357,0.0084,14.6
2026-03-30,1,370,0.0027,14.9
2026-03-31,0,518,0,11.5
2026-04-01,1,471,0.0021,14
2026-04-02,3,420,0.0070999999999999995,14.8
2026-04-03,1,345,0.0029,15.9
2026-04-04,1,352,0.0028000000000000004,16
2026-04-05,0,552,0,12.7
2026-04-06,3,688,0.0044,12.9
2026-04-07,2,552,0.0036,11.5
2026-04-08,1,600,0.0017000000000000001,11.2
2026-04-09,7,615,0.011399999999999999,13
2026-04-10,6,511,0.011699999999999999,13.8
2026-04-11,0,586,0,15.8
2026-04-12,3,598,0.005,16.2
2026-04-13,2,599,0.0033,15.1
2026-04-14,3,741,0.004,20.4
2026-04-15,1,555,0.0018,15.8
2026-04-16,2,559,0.0036,13.7
2026-04-17,2,541,0.0037,13.2
2026-04-18,1,452,0.0022,13.5
2026-04-19,3,528,0.005699999999999999,14.1
2026-04-20,3,646,0.0046,13
2026-04-21,5,610,0.008199999999999999,11.5
2026-04-22,1,548,0.0018,11.5
2026-04-23,1,673,0.0015,12.2
2026-04-24,2,449,0.0045000000000000005,12.2
2026-04-25,0,561,0,12.8
2026-04-26,4,474,0.0084,13.3
2026-04-27,3,557,0.0054,12.7
2026-04-28,0,555,0,15.4
2026-04-29,5,563,0.0089,12.3
2026-04-30,1,580,0.0017000000000000001,12.7
2026-05-01,0,496,0,11.5
2026-05-02,1,557,0.0018,12
2026-05-03,2,606,0.0033,12.3
2026-05-04,2,654,0.0031,14.6
2026-05-05,2,1037,0.0019,10.9
2026-05-06,3,573,0.0052,12.8
2026-05-07,0,709,0,13.4
2026-05-08,3,642,0.004699999999999999,12.3
2026-05-09,1,705,0.0014000000000000002,12.1
2026-05-10,4,742,0.0054,12.6
2026-05-11,1,851,0.0012,13.4
2026-05-12,2,818,0.0024,12.5
2026-05-13,1,756,0.0013,14.4
2026-05-14,1,765,0.0013,15.1
